"","danceability","energy","instrumentalness","liveness","mode","speechiness","tempo","valence","like"
"1903",0.741,0.748,0,0.34,1,0.0264,127.965,0.616,0
"1885",0.618,0.896,0,0.0875,1,0.0307,113.961,0.727,0
"892",0.643,0.889,0.884,0.0904,0,0.0499,131.999,0.658,1
"1448",0.597,0.832,2.96e-05,0.0864,0,0.147,162.03,0.479,0
"1613",0.704,0.962,0.128,0.22,1,0.115,127.997,0.0727,0
"550",0.865,0.549,0.158,0.081,1,0.244,142.8,0.619,1
"1275",0.388,0.542,0,0.175,1,0.0321,135.866,0.128,0
"1859",0.413,0.439,0.00562,0.0704,1,0.031,97.942,0.336,0
"619",0.587,0.784,0.0126,0.264,1,0.0469,139.99,0.13,1
"1557",0.42,0.0802,0.857,0.135,1,0.04,122.041,0.0513,0
"2002",0.484,0.609,0,0.339,0,0.0303,131.049,0.266,0
"1214",0.663,0.714,0,0.116,0,0.038,121.99,0.471,0
"135",0.558,0.642,0.00746,0.201,0,0.0321,99.977,0.492,1
"148",0.633,0.77,0,0.308,0,0.327,149.97,0.324,1
"1765",0.621,0.579,0,0.0827,1,0.221,82.897,0.415,0
"1921",0.831,0.921,0.00213,0.305,0,0.0581,108.002,0.808,0
"1180",0.623,0.656,0,0.0855,0,0.0416,95.878,0.371,0
"289",0.521,0.888,0.0226,0.0633,1,0.0357,81.971,0.264,1
"1002",0.709,0.797,0,0.143,1,0.335,139.639,0.474,1
"1439",0.775,0.883,0.346,0.057,0,0.0703,125.006,0.682,0
"981",0.607,0.435,0.0178,0.171,0,0.0475,120.045,0.255,1
"158",0.791,0.779,0,0.0832,1,0.235,110.037,0.581,1
"836",0.787,0.916,0.811,0.0588,0,0.047,116.007,0.507,1
"6",0.804,0.56,0,0.164,1,0.185,85.023,0.264,1
"143",0.851,0.387,0,0.0996,1,0.334,116.629,0.365,1
"1007",0.506,0.43,0.0139,0.135,0,0.317,137.644,0.294,1
"1911",0.686,0.915,7.16e-06,0.233,1,0.0364,110.054,0.784,0
"1024",0.589,0.809,0,0.0719,1,0.0376,88.965,0.464,0
"1270",0.696,0.713,2.22e-06,0.194,0,0.123,189.932,0.368,0
"724",0.624,0.724,7.79e-06,0.101,1,0.101,78.008,0.62,1
"426",0.735,0.798,0.0627,0.161,1,0.127,113.997,0.469,1
"772",0.805,0.879,0.595,0.0578,1,0.0521,123.013,0.713,1
"1352",0.716,0.972,3.22e-05,0.317,1,0.196,110.026,0.566,0
"712",0.67,0.848,0.00168,0.385,0,0.0537,124.029,0.46,1
"568",0.824,0.513,0,0.0487,1,0.208,99.938,0.568,1
"392",0.318,0.975,0.832,0.345,1,0.0916,174.205,0.683,1
"1053",0.55,0.774,0,0.067,1,0.0967,170.124,0.462,0
"949",0.754,0.968,0.795,0.194,1,0.168,124.971,0.55,1
"843",0.494,0.666,5.69e-05,0.0469,0,0.0351,140.832,0.704,1
"349",0.402,0.794,0,0.133,0,0.125,195.058,0.706,1
"1076",0.655,0.785,0,0.116,1,0.0697,171.969,0.931,0
"1554",0.32,0.156,0.904,0.0775,1,0.033,159.618,0.0623,0
"1902",0.967,0.583,0,0.0519,0,0.0789,117,0.965,0
"1234",0.468,0.786,0,0.31,1,0.0334,84.992,0.479,0
"396",0.484,0.492,0.66,0.111,1,0.0326,76.467,0.193,1
"1402",0.581,0.312,5.57e-05,0.104,0,0.054,181.893,0.506,0
"938",0.897,0.661,0,0.116,0,0.27,127.081,0.204,1
"1257",0.429,0.636,5.14e-05,0.203,1,0.0325,123.966,0.233,0
"421",0.284,0.961,0,0.365,1,0.0567,186.287,0.199,1
"1601",0.152,0.0626,0.00204,0.142,1,0.0395,137.174,0.0484,0
"1267",0.659,0.848,0,0.243,1,0.202,166.009,0.961,0
"802",0.191,0.979,0.283,0.617,1,0.191,179.236,0.313,1
"340",0.562,0.801,0,0.605,0,0.267,169.988,0.634,1
"1593",0.802,0.288,0,0.0745,1,0.129,119.882,0.722,0
"255",0.599,0.645,0.108,0.0857,1,0.0315,141.209,0.371,1
"22",0.747,0.74,0.369,0.0995,1,0.0323,130.031,0.77,1
"1549",0.539,0.0678,0.168,0.114,1,0.0468,124.105,0.257,0
"1034",0.726,0.595,0.000433,0.106,1,0.0393,115,0.666,0
"1872",0.602,0.771,0,0.107,1,0.04,125.024,0.387,0
"1315",0.276,0.919,0.181,0.479,1,0.111,116.038,0.149,0
"1429",0.707,0.929,0.205,0.0626,0,0.0901,123.004,0.403,0
"167",0.644,0.758,0.0708,0.0726,1,0.0458,108.99,0.752,1
"425",0.385,0.902,0.522,0.317,1,0.098,159.939,0.52,1
"1460",0.633,0.964,0.0159,0.204,1,0.0298,124.022,0.111,0
"1740",0.841,0.866,0,0.212,1,0.118,119.941,0.875,0
"1556",0.52,0.0748,0.633,0.102,1,0.0497,107.327,0.134,0
"1532",0.317,0.0302,0.298,0.0792,1,0.0342,47.859,0.155,0
"681",0.689,0.879,0.0376,0.49,0,0.0978,170.036,0.544,1
"1107",0.746,0.961,1.84e-06,0.329,1,0.13,179.984,0.954,0
"573",0.714,0.905,2.55e-05,0.146,1,0.0289,125.927,0.824,1
"300",0.694,0.789,0.00129,0.127,0,0.0378,109.014,0.549,1
"1375",0.844,0.32,0,0.107,0,0.0475,125.927,0.575,0
"18",0.789,0.659,0.00049,0.184,0,0.0429,122.415,0.842,1
"1102",0.761,0.82,2.1e-05,0.183,1,0.0623,88.997,0.619,0
"413",0.346,0.808,0.685,0.247,0,0.0302,219.331,0.711,1
"878",0.366,0.407,0.263,0.114,1,0.0265,148.436,0.352,1
"1547",0.388,0.0354,0.956,0.178,1,0.0421,143.514,0.192,0
"3",0.838,0.412,0.000234,0.159,1,0.289,75.044,0.173,1
"1690",0.585,0.757,0,0.741,1,0.0302,109.781,0.615,0
"1472",0.546,0.737,1.68e-05,0.114,1,0.054,97.9,0.188,0
"1774",0.538,0.677,0,0.236,1,0.187,132.346,0.919,0
"1891",0.561,0.555,0,0.114,0,0.0287,134.369,0.509,0
"1420",0.434,0.785,0,0.132,0,0.128,106.926,0.393,0
"557",0.722,0.619,0,0.0533,0,0.352,140.031,0.606,1
"1982",0.585,0.612,1.03e-05,0.293,1,0.0806,77.487,0.173,0
"855",0.44,0.433,0.811,0.273,0,0.0412,79.952,0.217,1
"1296",0.305,0.726,0,0.464,1,0.061,82.673,0.547,0
"350",0.599,0.524,0,0.238,1,0.13,83.013,0.44,1
"899",0.634,0.858,0.84,0.0984,1,0.0417,123.991,0.233,1
"1916",0.667,0.728,0,0.199,0,0.0272,99.014,0.449,0
"1268",0.588,0.58,0,0.0811,1,0.0272,138.013,0.492,0
"1667",0.631,0.838,0,0.0512,0,0.0818,127.938,0.392,0
"1036",0.443,0.804,2.89e-06,0.181,1,0.0406,151.928,0.437,0
"1231",0.567,0.678,0,0.102,0,0.0404,141.951,0.381,0
"1998",0.465,0.953,0.0146,0.226,0,0.295,160.064,0.554,0
"191",0.312,0.445,0.0038,0.13,0,0.0305,97.967,0.308,1
"525",0.792,0.387,0.000106,0.0757,0,0.0464,136.996,0.677,1
"1550",0.45,0.0437,0.88,0.0948,1,0.0374,63.938,0.0906,0
"399",0.811,0.635,0.142,0.204,1,0.0971,137.595,0.752,1
"1265",0.227,0.309,0,0.0898,1,0.0292,167.097,0.225,0
"1041",0.674,0.706,7.98e-05,0.0958,1,0.0586,160.023,0.962,0
"272",0.473,0.865,0.968,0.897,1,0.0332,100.018,0.554,1
"1317",0.398,0.974,0.0076,0.389,0,0.16,129.983,0.245,0
"199",0.558,0.74,8.97e-06,0.129,1,0.0448,118.293,0.214,1
"837",0.614,0.575,0.0116,0.108,0,0.0285,150.009,0.284,1
"1683",0.396,0.912,0.631,0.124,0,0.0856,125.923,0.146,0
"1388",0.453,0.678,5.11e-05,0.0477,0,0.0494,131.936,0.0827,0
"988",0.654,0.641,0.00321,0.209,1,0.0482,114.696,0.778,1
"546",0.625,0.576,4.07e-05,0.187,0,0.175,179.063,0.223,1
"1043",0.562,0.94,0,0.217,1,0.114,103.009,0.466,0
"388",0.763,0.623,4.37e-06,0.0768,1,0.179,115.032,0.369,1
"726",0.81,0.949,0.957,0.155,1,0.0428,121.971,0.778,1
"1630",0.649,0.706,0.831,0.163,0,0.031,128.032,0.0744,0
"1566",0.421,0.0967,0.415,0.218,0,0.0509,77.401,0.183,0
"1937",0.585,0.776,7.74e-06,0.3,1,0.0459,77.987,0.43,0
"419",0.732,0.468,0.809,0.371,0,0.0409,118.994,0.191,1
"1368",0.819,0.677,0.0313,0.0915,0,0.0423,94.975,0.93,0
"188",0.542,0.946,5.38e-06,0.386,1,0.0505,108.496,0.389,1
"1535",0.47,0.156,0.187,0.104,1,0.0399,118.176,0.0591,0
"617",0.586,0.915,0.236,0.192,1,0.031,117.99,0.747,1
"1583",0.534,0.582,0,0.125,1,0.0424,186.346,0.289,0
"1573",0.509,0.0461,0.911,0.134,1,0.0427,132.709,0.368,0
"10",0.836,0.603,0,0.571,1,0.237,99.994,0.386,1
"127",0.645,0.924,0.0266,0.0982,0,0.0569,90.852,0.886,1
"1514",0.475,0.0588,0.0238,0.129,0,0.0418,115.642,0.229,0
"1307",0.173,0.927,0.23,0.229,1,0.0869,99.131,0.183,0
